ref;value;Champ1;Champ2;Champ3;Champ4;Champ5;Champ6;Champ7;Champ8;Nbr éléments
C1,C2;10uF;;;;;;;;;2
C3..C8;100uF;;;;;;;;;6
C9..C14;100nF;;;;;;;;;6
D1..D6;LED;;;;;;;;;6
JP1..JP14;JUMPER3;;;;;;;;;14
P1..P10;CONN_4;;;;;;;;;10
P11,P12;CONN_23X2;;;;;;;;;2
Q1..Q6;NPN;BC337;;;;;;;;6
R1..R4;10k;;;;;;;;;4
R5;330;;;;;;;;;1
R6;R;;;;;;;;;1
R7;330;;;;;;;;;1
R8;R;;;;;;;;;1
R9;330;;;;;;;;;1
R10;10k;;;;;;;;;1
R11;R;;;;;;;;;1
R12;10k;;;;;;;;;1
R13;330;;;;;;;;;1
R14;R;;;;;;;;;1
R15;330;;;;;;;;;1
R16;R;;;;;;;;;1
R17;330;;;;;;;;;1
R18;R;;;;;;;;;1
U1..U1U6;STEPSTICK;;;;;;;;;6
