100nF;6;"C5 C6 C9 C10 C13 C14";C1
10uF;8;"C3 C4 C15 C16 C17 C18 C19 C20";C1
100uF;6;"C1 C2 C7 C8 C11 C12";CP4
LED;6;"D1 D2 D3 D4 D5 D6";LED-3MM
JUMPER3;1;"JP1";SIL-3
CONN_1;4;"P13 P14 P15 P16";1pin
CONN_4;10;"P1 P2 P3 P4 P5 P6 P7 P10 P11 P12";bornier4
CONN_23X2;2;"P8 P9";SIL-2x23-v1
NPN;6;"Q1 Q2 Q3 Q4 Q5 Q6";TO92;BC337
10kohm;6;"R1 R2 R3 R4 R10 R12";R3
47k;6;"R19 R20 R21 R22 R23 R24";~
82kohm;6;"R6 R8 R11 R14 R16 R18";R3
150ohm;6;"R5 R7 R9 R13 R15 R17";R3
STEPSTICK;6;"U1 U2 U3 U4 U5 U6";Stepstick_footprint
